feature,importance
max,0.60563666
mean,0.22627585
min,0.032524593
mean_lag_2,0.009035799
std,0.008873161
max_rolling_mean_3,0.008691705
std_rolling_mean_6,0.008206193
mean_lag_5,0.0073486976
std_rolling_mean_3,0.0072047245
mean_lag_1,0.0067168586
max_lag_5,0.0059901653
mean_lag_3,0.0054580006
std_lag_1,0.004579845
max_lag_1,0.0042964546
min_lag_5,0.004197384
max_lag_2,0.00408773
min_rolling_mean_6,0.0039376835
mean_rolling_mean_6,0.0038547465
hour,0.0038106076
max_rolling_mean_6,0.0037039088
mean_rolling_mean_3,0.0036684312
min_lag_4,0.003321988
mean_lag_4,0.0032880392
std_lag_5,0.0029349653
max_lag_4,0.002797911
std_lag_2,0.0027927796
max_lag_3,0.0026658527
weekday,0.0026541657
std_lag_4,0.0026079721
std_lag_3,0.0024980698
min_lag_2,0.002197789
min_lag_1,0.0017093618
min_lag_3,0.0016424027
min_rolling_mean_3,0.0007893988
