number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_horizon,params_lags,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_rolling_window,params_subsample,params_use_all_stats,params_use_fourier,params_use_holidays,state
0,0.19961039837402633,2025-08-26 00:24:45.124700,2025-08-26 00:24:45.920389,0 days 00:00:00.795689,0.74440251937938,1,"(1, 2, 3, 4, 5)",0.04571469140849257,4,9.946633784137255,625,0.05988617079545556,0.0011378511370340532,"(3, 6, 12)",0.7373592332393063,True,False,False,COMPLETE
1,0.2957864656206928,2025-08-26 00:24:45.920787,2025-08-26 00:24:46.540936,0 days 00:00:00.620149,0.966051205220413,1,"(1, 2, 3)",0.13621600909489096,7,2.2051902388389784,277,0.00323328737081086,0.0014439707057321623,"(3, 6, 12)",0.7927720034917536,True,False,False,COMPLETE
2,0.18449009029700422,2025-08-26 00:24:46.541297,2025-08-26 00:24:47.169077,0 days 00:00:00.627780,0.8172341472629124,1,"(1, 2, 3, 4, 5)",0.01700293117146767,8,17.702911273490056,239,0.39350693622245414,0.11086872747162539,"(3, 6)",0.7523181253861572,True,True,True,COMPLETE
3,0.19308389783911564,2025-08-26 00:24:47.169422,2025-08-26 00:24:47.904309,0 days 00:00:00.734887,0.9809875347829067,1,"(1, 2, 3)",0.013887386667441867,6,25.375893248610026,420,6.919172435220913,4.595487884749432,"(3, 6, 12)",0.7579065392054101,True,False,True,COMPLETE
4,0.4540589320045985,2025-08-26 00:24:47.904635,2025-08-26 00:24:48.173233,0 days 00:00:00.268598,0.7291346716358377,3,"(1, 2, 3)",0.06490365653978292,4,5.0548609863319225,209,0.0010288482056193637,0.022092522045131128,"(3, 6, 12)",0.7583991314194376,True,False,True,COMPLETE
5,0.3172903154276091,2025-08-26 00:24:48.173557,2025-08-26 00:24:49.417153,0 days 00:00:01.243596,0.9351138186724057,1,"(1, 2, 3, 4, 5)",0.1845658639873327,10,0.1261316323611242,563,0.005679677089241301,0.012601408677691087,"(3, 6, 12)",0.7678108072401698,False,False,False,COMPLETE
6,0.5830686032477814,2025-08-26 00:24:49.417475,2025-08-26 00:24:50.302333,0 days 00:00:00.884858,0.9459734819009274,3,"(1, 2, 3, 4, 5)",0.10758843881026053,5,27.89533297048479,619,0.0017397602338516715,0.12532165098629647,"(3, 6, 12)",0.896943217592666,False,False,False,COMPLETE
7,0.46886230448605143,2025-08-26 00:24:50.302664,2025-08-26 00:24:50.693401,0 days 00:00:00.390737,0.7654693968892836,3,"(1, 2, 3)",0.06569436358193846,4,2.1606787899282986,325,0.004765078697147974,0.02896075611112477,"(3, 6, 12)",0.9433547028158544,False,False,False,COMPLETE
8,0.19273658221929915,2025-08-26 00:24:50.693727,2025-08-26 00:24:52.389013,0 days 00:00:01.695286,0.7182703268273659,1,"(1, 2, 3)",0.015162630525298638,9,1.0663884437038553,671,6.360934109192295,8.003742772041216,"(3, 6)",0.8580496133495853,False,True,False,COMPLETE
9,0.18818005002903038,2025-08-26 00:24:52.389339,2025-08-26 00:24:53.411338,0 days 00:00:01.021999,0.7831213729136393,1,"(1, 2, 3)",0.03830173350817209,7,1.9603401083270902,491,0.013719254243262131,68.42987258699517,"(3, 6, 12)",0.8686419364895714,True,False,False,COMPLETE
10,0.3165142678098775,2025-08-26 00:24:53.411662,2025-08-26 00:24:54.396622,0 days 00:00:00.984960,0.8527796391044592,3,"(1, 2, 3, 4, 5)",0.022311852435504716,9,87.04250692436209,390,0.4426006440969637,1.0753711636976118,"(3, 6)",0.7026344520245247,True,True,True,COMPLETE
11,0.17369785656213357,2025-08-26 00:24:54.396957,2025-08-26 00:24:55.584783,0 days 00:00:01.187826,0.8112676346603961,1,"(1, 2, 3, 4, 5)",0.026015710488527365,8,0.43072116236698843,468,0.06625753473784904,51.938874378543595,"(3, 6)",0.8227469971191663,True,True,True,COMPLETE
12,0.17561853241156566,2025-08-26 00:24:55.585112,2025-08-26 00:24:56.857658,0 days 00:00:01.272546,0.8302867575318804,1,"(1, 2, 3, 4, 5)",0.023694332012951732,8,0.2904064517101881,500,0.39847838543283276,68.84657685557565,"(3, 6)",0.8160027747945616,True,True,True,COMPLETE
13,0.17261374528552795,2025-08-26 00:24:56.857986,2025-08-26 00:24:58.150657,0 days 00:00:01.292671,0.8801018107919172,1,"(1, 2, 3, 4, 5)",0.026374813468395705,8,0.26261994199431843,505,0.12831132664796424,93.11720938029995,"(3, 6)",0.8165738770540737,True,True,True,COMPLETE
14,0.18465890210052768,2025-08-26 00:24:58.150992,2025-08-26 00:24:59.501588,0 days 00:00:01.350596,0.8777828078852042,1,"(1, 2, 3, 4, 5)",0.030821310410136808,8,0.539109366565307,532,0.05380186920456434,14.285545679145361,"(3, 6)",0.8168996471721967,True,True,True,COMPLETE
